id,TLE_LINE1,TLE_LINE2
THORAD AGENA D DEB,1 42502U 70025RG  26085.01658145  .00000016  00000-0  87242-4 0  9992,2 42502  99.7266 359.7517 0014684  59.6216 324.8389 13.54858432610134
THORAD AGENA D DEB,1 42503U 70025RH  26085.29984605  .00000961  00000-0  86553-3 0  9998,2 42503  99.9472  98.6681 0014890 352.3846   7.7080 13.86843736622873
THORAD AGENA D DEB,1 42504U 70025RJ  24135.17029466  .00007546  00000-0  37280-2 0  9993,2 42504  98.9792 206.9275 0083704 106.7998 254.2378 14.15838073487150
THORAD AGENA D DEB,1 42505U 70025RK  26084.60891979  .00000529  00000-0  77158-3 0  9996,2 42505 100.1681  36.8938 0044888  40.3089 139.0001 13.59723538611916
THORAD AGENA D DEB,1 42506U 70025RL  26081.92928953  .00000370  00000-0  38667-3 0  9998,2 42506  99.5614 156.5280 0050803 178.1077 182.0277 13.81534186270979
THORAD AGENA D DEB,1 42508U 70025RN  26080.86774838  .00000183  00000-0  16977-3 0  9995,2 42508  99.8264 308.1776 0119587 210.6316 148.7823 13.92771388164082
THORAD AGENA D DEB,1 42509U 70025RP  26082.58092066  .00000882  00000-0  12788-2 0  9994,2 42509 100.0495 213.8322 0119767   1.7881 358.3661 13.55443358608319
THORAD AGENA D DEB,1 42510U 70025RQ  25243.73063088  .00001330  00000-0  12952-2 0  9995,2 42510 100.0301 231.2819 0005512  89.0675  91.6104 13.81496347592354
THORAD AGENA D DEB,1 42511U 70025RR  26082.56153996 -.00000101  00000-0 -20160-3 0  9995,2 42511 100.1822 348.2141 0455259 188.8730 170.4104 12.72706415572081
THORAD AGENA D DEB,1 42512U 70025RS  26084.99960194  .00000006  00000-0  86573-4 0  9994,2 42512  99.8247 344.7978 0006930 210.5791 149.4936 13.43820597605166
THORAD AGENA D DEB,1 42513U 70025RT  24359.58583686  .00002472  00000-0  20991-2 0  9999,2 42513  99.9902 284.6650 0012875 119.9604 240.2831 13.88465830561232
THORAD AGENA D DEB,1 42514U 70025RU  26054.62820468  .00000446  00000-0  10493-2 0  9996,2 42514  99.3774 188.6895 0185195 222.7336 135.9257 13.23273729591585
THORAD AGENA D DEB,1 42515U 70025RV  26081.56665356  .00000105  00000-0  22443-3 0  9994,2 42515  99.3878  17.9062 0041062 324.1814  35.6570 13.51472919608028
THORAD AGENA D DEB,1 42516U 70025RW  26083.43195755  .00001924  00000-0  24959-2 0  9997,2 42516  99.6670 152.5614 0052544  54.5426  11.1929 13.62856579610447
THORAD AGENA D DEB,1 42517U 70025RX  26084.07662538  .00000303  00000-0  60530-3 0  9993,2 42517 100.2368 137.0286 0089361 320.9769  38.4935 13.42408284605415
THORAD AGENA D DEB,1 42518U 70025RY  26077.40142881  .00005823  00000-0  38504-2 0  9994,2 42518 100.4178 124.0272 0056837  21.4802 338.8725 14.01241416280614
THORAD AGENA D DEB,1 42519U 70025RZ  16059.40509506  .00000435  00000-0  46890-3 0  9997,2 42519  99.4908 128.7091 0020317 311.8612  48.0398 13.79161476620729
THORAD AGENA D DEB,1 42520U 70025SA  26079.38155331  .00001153  00000-0  94117-3 0  9995,2 42520 100.3112 296.4068 0095171 331.2827  28.3107 13.90132329614800
THORAD AGENA D DEB,1 42521U 70025SB  26080.91241216  .00000663  00000-0  67907-3 0  9997,2 42521  99.9501 139.7491 0013611  32.7165 327.4826 13.80491222619649
THORAD AGENA D DEB,1 42522U 70025SC  26085.72562431  .00000456  00000-0  62287-3 0  9993,2 42522  99.6438 191.5803 0032377 177.9130 182.2153 13.64366185613671
THORAD AGENA D DEB,1 42523U 70025SD  26082.78976613  .00000540  00000-0  60085-3 0  9996,2 42523  99.9681 198.6189 0027520 123.4010  30.1188 13.76387069618599
THORAD AGENA D DEB,1 42524U 70025SE  17298.08788286  .00000444  00000-0  58586-3 0  9992,2 42524  99.7781 248.4124 0034283 320.9201  98.4503 13.66825346656923
THORAD AGENA D DEB,1 42526U 70025SG  26082.57811515  .00000910  00000-0  71805-3 0  9998,2 42526  99.8048  21.5491 0088908 353.9035 185.8728 13.92778765625661
THORAD AGENA D DEB,1 42527U 70025SH  26081.60428462  .00008263  00000-0  25166-2 0  9994,2 42527  99.1329  33.7504 0021432 211.5797 148.4105 14.42143137638922
THORAD AGENA D DEB,1 42529U 70025SK  22254.88788981  .00001818  00000-0  15996-2 0  9998,2 42529  98.6811 130.0081 0211573  97.7832 264.7396 13.76779246446727
THORAD AGENA D DEB,1 42531U 70025SM  26084.60894711  .00000261  00000-0  47279-3 0  9996,2 42531  99.7805 201.7545 0053725 127.5802 250.1957 13.50295718607537
THORAD AGENA D DEB,1 42532U 70025SN  26085.05841704  .00001913  00000-0  12718-2 0  9995,2 42532  99.9355  18.9237 0000865  28.1111 332.0099 14.02716929628026
THORAD AGENA D DEB,1 42533U 70025SP  26084.04405267  .00001544  00000-0  12452-2 0  9999,2 42533  99.6603 358.4485 0134148 200.5436 159.0295 13.87959784622226
THORAD AGENA D DEB,1 42534U 70025SQ  25356.69191888  .00000106  00000-0  50664-3 0  9994,2 42534 101.7318  85.5299 0192550 102.0486 260.2259 12.95549049565473
THORAD AGENA D DEB,1 42535U 70025SR  26082.81991402  .00002370  00000-0  21982-2 0  9991,2 42535  99.8556  31.5745 0073160 126.4392 234.3533 13.82173195618213
THORAD AGENA D DEB,1 42536U 70025SS  26085.28977053  .00003537  00000-0  19135-2 0  9995,2 42536  99.5028  27.3168 0058685 207.9551 151.8463 14.12379674628809
THORAD AGENA D DEB,1 42537U 70025ST  26083.46095579  .00000932  00000-0  89622-3 0  9993,2 42537 100.0234 338.8140 0008240  88.4855 271.7240 13.83131243 40930
THORAD AGENA D DEB,1 42538U 70025SU  26079.74893227  .00000065  00000-0  16457-3 0  9999,2 42538 100.1675  96.6488 0000774 145.5048 214.6137 13.54666288609198
THORAD AGENA D DEB,1 42539U 70025SV  22273.91029547  .00002090  00000-0  12486-2 0  9994,2 42539  99.0639 330.7522 0075279 150.9971 209.5411 14.06881163495597
THORAD AGENA D DEB,1 42541U 70025SX  26085.66632441  .00000486  00000-0  57352-3 0  9996,2 42541 100.0697 344.7324 0033511  73.0281 315.9336 13.73320757617587
THORAD AGENA D DEB,1 42542U 70025SY  24096.02815660  .00004042  00000-0  21281-2 0  9996,2 42542  99.0525 183.2614 0103457  74.8336 286.4250 14.11846878587561
THORAD AGENA D DEB,1 42543U 70025SZ  26085.28517904  .00000507  00000-0  11062-2 0  9993,2 42543  99.7853 103.1955 0181341 180.5039 179.5927 13.27990962597187
THORAD AGENA D DEB,1 42546U 70025TC  26082.86901129  .00000733  00000-0  96024-3 0  9996,2 42546 100.1188 296.4497 0053323 151.6701 208.7358 13.64730361612961
THORAD AGENA D DEB,1 42547U 70025TD  26085.45471581  .00001221  00000-0  11288-2 0  9990,2 42547 100.1788  91.2581 0012707 321.9995  38.0260 13.84749755621146
THORAD AGENA D DEB,1 42549U 70025TF  24161.84765062  .00005615  00000-0  51321-2 0  9991,2 42549  99.4344   4.4707 0230986 182.1728 177.8437 13.72190987611640
THORAD AGENA D DEB,1 42550U 70025TG  26084.08385496  .00000953  00000-0  52386-3 0  9997,2 42550  99.2624  28.9625 0022325 117.9591 258.0855 14.14147528634855
THORAD AGENA D DEB,1 42551U 70025TH  26085.65400714  .00001396  00000-0  95387-3 0  9993,2 42551  99.9794 151.8425 0010184 265.2392  94.7607 14.01709237628075
THORAD AGENA D DEB,1 42552U 70025TJ  26074.11593316  .00001571  00000-0  25633-2 0  9995,2 42552  99.3908  16.7851 0172598 143.4708 217.8342 13.43544653601153
THORAD AGENA D DEB,1 42553U 70025TK  26085.25384095  .00000109  00000-0  40749-3 0  9997,2 42553 100.0753 102.5675 0128400 138.5735 222.5198 13.11027783544690
THORAD AGENA D DEB,1 42554U 70025TL  26082.72077978  .00000598  00000-0  61343-3 0  9991,2 42554 100.0543 244.7172 0038419 269.3854  90.2894 13.80697674574115
DELTA 1 DEB,1 42555U 72058JN  26082.72894235  .00001139  00000-0  18493-3 0  9993,2 42555  97.7925  67.3484 0012102 238.0129 298.5864 14.72922647661790
DELTA 1 DEB,1 42556U 72058JP  26076.40718439  .00001353  00000-0  44199-3 0  9993,2 42556  98.4566 144.4219 0270345 346.4109  12.9889 14.21502540634278
DELTA 1 DEB *,1 42557U 72058JQ  26074.46441268  .00000071  00000-0  45053-4 0  9998,2 42557  98.6031 156.1107 0011979 180.2028 243.0488 14.29390457642084
DELTA 1 DEB,1 42558U 72058JR  26082.13295293  .00001534  00000-0  27656-3 0  9990,2 42558  97.8777  50.8595 0035770 302.0572  57.7161 14.67491453657878
DELTA 1 DEB,1 42560U 72058JT  26085.69340863  .00000529  00000-0  14229-3 0  9996,2 42560  97.8756  54.4035 0096873  83.1329  89.5743 14.48975062651779
DELTA 1 DEB,1 42561U 72058JU  26085.37986425  .00000881  00000-0  15654-2 0  9995,2 42561  98.8874 242.8227 0470916 272.4924 113.0311 13.08609002588019
DELTA 1 DEB,1 42562U 72058JV  26083.83350524  .00000859  00000-0  18326-3 0  9995,2 42562  98.8232 288.2813 0151197 276.4043  81.9954 14.55040227652835
DELTA 1 DEB,1 42563U 72058JW  26082.79973894  .00000366  00000-0  34201-3 0  9994,2 42563  98.8213 208.2670 0247303 286.6221  70.7911 13.75051669611976
DELTA 1 DEB,1 42564U 72058JX  26078.16737663  .00010841  00000-0  37510-2 0  9997,2 42564  99.0284  46.0706 0051813  31.4181 346.9897 14.35117933629217
DELTA 1 DEB,1 42565U 72058JY  26085.69333569  .00000620  00000-0  14996-3 0  9999,2 42565  97.8620 245.9374 0037427  80.3540 280.1884 14.55767539654461
DELTA 1 DEB,1 42566U 72058JZ  26085.33360583  .00001143  00000-0  67315-3 0  9991,2 42566  98.1281 220.9048 0476333 287.9445  67.0335 13.64842322612237
DELTA 1 DEB,1 42567U 72058KA  26085.58324061  .00001187  00000-0  20207-3 0  9997,2 42567  98.5077 219.6502 0110674 256.3919 102.4938 14.67260036658585
DELTA 1 DEB,1 42568U 72058KB  26079.29875678  .00000418  00000-0  21624-3 0  9994,2 42568  98.9469 110.0467 0028294 130.3678 229.9975 14.20205575 67124
DELTA 1 DEB,1 42569U 72058KC  26085.80794128  .00000515  00000-0  65733-3 0  9996,2 42569  98.8849 214.1832 0343822 236.7961 119.9772 13.45201505590636
DELTA 1 DEB,1 42572U 73086HL  25297.30125966  .00000350  00000-0  13222-2 0  9991,2 42572 101.8835 304.4987 0576963  48.6854 316.2426 12.54175867909675
DELTA 1 DEB,1 42573U 73086HM  26085.21745556  .00000067  00000-0  77112-3 0  9995,2 42573 101.9110 188.5714 0043140 154.4627 235.5352 12.46314243561064
DELTA 1 DEB,1 42574U 73086HN  26014.70075771  .00000235  00000-0  18949-2 0  9996,2 42574 102.0144   7.3043 0022262 200.3289 159.6894 12.48064467553918
DELTA 1 DEB,1 42575U 73086HP  23058.94131487 -.00083973  00000-0 -27286+0 0  9998,2 42575 103.7906 326.9654 0164400  71.9619 289.9306 12.97704710863657
DELTA 1 DEB,1 42576U 73086HQ  26079.15733471  .00000120  00000-0  64682-3 0  9995,2 42576 102.2216 311.7438 0301077 128.8822  22.6733 12.76472513574115
DELTA 1 DEB,1 42577U 73086HR  26085.06099564  .00000407  00000-0  21772-2 0  9991,2 42577 101.2418   7.8088 0079720  48.1950 312.5909 12.72179362 31730
DELTA 1 DEB,1 42578U 73086HS  25174.40787616 -.00002498  00000-0 -34010-1 0  9992,2 42578 100.7551 151.9954 0761841 283.3635  68.3599 11.35671331 40474
DELTA 1 DEB,1 42579U 73086HT  26082.79874644  .00000025  00000-0  62210-3 0  9999,2 42579 102.6013  98.7874 0081831 149.0281 211.5633 12.26788834200126
DELTA 1 DEB,1 42580U 73086HU  26079.59326309  .00082675  00000-0  10514-1 0  9994,2 42580 101.4276 129.0876 0026633 204.4160 155.5780 14.80904723622393
DELTA 1 DEB,1 42581U 73086HV  25258.99200970  .00000425  00000-0  23727-2 0  9996,2 42581 102.1769 152.5685 0066133 251.5910 107.7971 12.69911882185106
DELTA 1 DEB,1 42582U 73086HW  24313.65055970  .00000236  00000-0  19484-2 0  9994,2 42582 101.8521 257.0136 0012858 115.7749 244.4646 12.45764885498497
DELTA 1 DEB,1 42583U 73086HX  26072.41473140  .00000212  00000-0  20231-2 0  9992,2 42583 101.8457  64.9581 0092685 303.8069  55.4194 12.34696182512538
DELTA 1 DEB,1 42584U 73086HY  26085.49220710 -.00000015  00000-0  24705-3 0  9991,2 42584 102.4004 100.2415 0020469 120.9917  36.3442 12.36922450557271
DELTA 1 DEB,1 42585U 73086HZ  26084.07914934  .00000004  00000-0  19492-3 0  9997,2 42585 101.9550  12.8809 0243904 329.6150  45.9783 12.87027631983387
DELTA 1 DEB,1 42586U 73086JA  26075.79760964  .00000018  00000-0  50601-3 0  9991,2 42586 102.3846  98.1598 0030013 326.1783 216.3281 12.35485682555460
DELTA 1 DEB,1 42587U 73086JB  22282.19317159 -.00000351  00000-0 -28362-2 0  9996,2 42587 102.4289 246.1604 0094729 187.1295 172.8414 12.22276848684783
DELTA 1 DEB,1 42588U 73086JC  26062.84679696 -.00000020  00000-0  20750-3 0  9992,2 42588 102.4502  64.8438 0067706 169.5248 311.3573 12.36019736554170
DELTA 1 DEB,1 42589U 73086JD  26081.19503004  .00000256  00000-0  73965-3 0  9997,2 42589 102.5713 242.6510 0316796  80.0424 283.6271 13.06612551588515
DELTA 1 DEB,1 42590U 73086JE  22265.21061323  .00000158  00000-0  10188-2 0  9993,2 42590 101.0688 265.2008 0058378 168.9071 191.3313 12.68991917365774
THORAD DELTA 1 DEB,1 42591U 74089BV  26080.51627208  .00000033  00000-0  59829-3 0  9998,2 42591 101.8122 193.3824 0115492  43.4991 317.5111 12.34036343803481
THORAD DELTA 1 DEB,1 42592U 74089CW  26073.80875831  .00000024  00000-0  44889-3 0  9990,2 42592 101.8564  25.4526 0033259  61.0289 299.4109 12.50306715520945
THORAD DELTA 1 DEB,1 42593U 74089FJ  26083.55908948  .00000186  00000-0  27246-2 0  9996,2 42593 101.1974 344.5429 0370966 128.9528 352.4048 11.83930793533242
THORAD DELTA 1 DEB,1 42594U 74089FK  25238.89178589  .00000121  00000-0  13970-2 0  9993,2 42594 100.8648 205.3459 0174829  71.0062 320.0959 12.22472385629694
THORAD DELTA 1 DEB,1 42595U 74089FL  26085.37419669  .00000051  00000-0  64731-3 0  9999,2 42595 101.6569  58.9103 0041121 107.9675 252.5882 12.46715080561643
THORAD DELTA 1 DEB,1 42596U 74089FM  26085.95275657 -.00000022  00000-0  16426-3 0  9998,2 42596 101.4907  81.7824 0144288 302.7710  82.4610 12.25693962552230
THORAD DELTA 1 DEB,1 42597U 74089FN  26084.69362023  .00000225  00000-0  12786-2 0  9991,2 42597 101.5464  72.9144 0191123 219.9524 138.7361 12.69637432571797
THORAD DELTA 1 DEB,1 42598U 74089FP  26082.36296344  .00000445  00000-0  33661-2 0  9995,2 42598 102.7976 108.7240 0178752  30.7510 330.3884 12.42953235558902
THORAD DELTA 1 DEB,1 42599U 74089FQ  26084.54527459  .00000423  00000-0  25705-2 0  9998,2 42599 101.5375 184.6333 0050283 283.5069  96.5367 12.63302219555978
THORAD DELTA 1 DEB,1 42600U 74089FR  16235.29564104  .00000089  00000-0  85552-3 0  9993,2 42600 101.5654 263.1755 0052625 320.3049  37.9026 12.51445564455756
THORAD DELTA 1 DEB,1 42601U 74089FS  26081.64856429  .00000108  00000-0  38349-3 0  9991,2 42601 101.4765  49.5945 0314374 115.9045  60.4330 13.04749162977952
THORAD DELTA 1 DEB,1 42602U 74089FT  26081.15898316  .00000116  00000-0  14386-2 0  9992,2 42602 101.4404  48.7728 0317065 260.7503  95.7562 12.11221929959570
THORAD DELTA 1 DEB,1 42603U 74089FU  25271.13086327  .00000725  00000-0  70454-2 0  9996,2 42603 100.8923  31.6843 0211718 129.2634 232.7414 12.17680270526383
THORAD DELTA 1 DEB,1 42604U 74089FV  21293.61181613  .00002683  00000-0  37650-1 0  9999,2 42604 102.9809  70.4015 0576586 263.2411  90.2700 11.56887847731385
THORAD DELTA 1 DEB,1 42605U 74089FW  26021.60644767  .00000055  00000-0  79782-3 0  9992,2 42605 101.4857 337.4662 0125303 124.6158 236.6792 12.29177057438637
THORAD DELTA 1 DEB,1 42606U 74089FX  26074.56431278  .00000257  00000-0  13933-2 0  9996,2 42606 102.1398 350.2896 0182350 124.0957  55.2534 12.72464063560543
THORAD DELTA 1 DEB,1 42608U 74089FZ  26085.42248068 -.00000007  00000-0  33843-3 0  9995,2 42608 102.5379  73.3478 0073713   3.0024 357.1461 12.28110609553269
THORAD DELTA 1 DEB,1 42609U 74089GA  24091.71937363  .00000254  00000-0  15527-2 0  9997,2 42609 101.2871  64.8721 0050297 261.8385  97.6990 12.67161911478832
THORAD DELTA 1 DEB,1 42610U 74089GB  26072.45554164 -.00000053  00000-0 -80382-4 0  9997,2 42610 101.4095 304.8813 0079393 311.5901  47.8379 12.40361124557338
THORAD DELTA 1 DEB,1 42611U 74089GC  23346.25940131 -.00000037  00000-0 -20976-5 0  9996,2 42611 101.0701 153.4289 0133001 114.5063 246.9930 12.26870209853642
THORAD DELTA 1 DEB,1 42612U 74089GD  26076.28913844  .00000033  00000-0  39708-3 0  9999,2 42612 101.6160  75.1416 0083914 232.1256 127.2214 12.69883868550998
THORAD DELTA 1 DEB,1 42613U 74089GE  26017.27117322 -.00000028  00000-0  13143-3 0  9991,2 42613 102.2557  24.0002 0067438 103.3021 272.0429 12.43774225552663
THORAD DELTA 1 DEB,1 42614U 74089GF  26084.20188120  .00000357  00000-0  23245-2 0  9990,2 42614 101.8750 243.1509 0032918 322.2192 214.9889 12.59824526525400
THORAD DELTA 1 DEB,1 42615U 74089GG  26079.19569627  .00000080  00000-0  71106-3 0  9991,2 42615 101.7877  68.0859 0075148 113.9164 311.7737 12.60754436566865
THORAD DELTA 1 DEB,1 42616U 74089GH  26084.62554582 -.00000117  00000-0 -12308-2 0  9991,2 42616 101.4336  28.0322 0497702 260.4981 288.8266 11.58985413880624
THORAD DELTA 1 DEB,1 42617U 74089GJ  26081.93012451  .00000006  00000-0  42113-3 0  9990,2 42617 101.4771 127.3329 0179826 337.0988 197.2265 12.19449148549150
THORAD DELTA 1 DEB,1 42618U 74089GK  17309.38881281 -.00000033  00000-0  93635-4 0  9995,2 42618 102.0802 278.8327 0045540 207.2713 152.5954 12.33537251611172
THORAD DELTA 1 DEB,1 42619U 74089GL  26085.45446117  .00001364  00000-0  22138-2 0  9995,2 42619 102.0472  68.3803 0176338 227.5426 285.7988 13.44757791602984
THORAD DELTA 1 DEB,1 42620U 74089GM  26085.38667378 -.00000073  00000-0 -30913-3 0  9992,2 42620 101.1209  56.5234 0146689 298.4337  60.2007 12.23237829536676
THORAD DELTA 1 DEB,1 42621U 74089GN  26085.42582229  .00000109  00000-0  17254-2 0  9999,2 42621 101.0155 258.3854 0372128  34.8529 354.5165 11.85415129533961
THORAD DELTA 1 DEB,1 42622U 74089GP  26085.31809958  .00000108  00000-0  13051-2 0  9999,2 42622 101.4653 219.3825 0153481 286.4082 100.0900 12.24295765551576
THORAD DELTA 1 DEB,1 42623U 74089GQ  26080.31526938 -.00000058  00000-0 -78581-4 0  9996,2 42623 102.2251  92.7272 0071747 343.5565  16.3175 12.43797124221332
THORAD DELTA 1 DEB,1 42624U 74089GR  16238.93055181  .00000080  00000-0  58560-3 0  9993,2 42624 101.1497 274.9063 0063328  76.6577 284.0847 12.73828505550794
THORAD DELTA 1 DEB,1 42625U 74089GS  26085.43382478  .00000119  00000-0  11617-2 0  9996,2 42625 102.0312  61.9977 0003480 358.8613 153.4240 12.44242690561698
THORAD DELTA 1 DEB,1 42626U 74089GT  24123.10244829  .00000045  00000-0  51341-3 0  9996,2 42626 101.6426  86.7111 0123884 342.9772  16.7167 12.58965021480612
THORAD DELTA 1 DEB,1 42627U 74089GU  24082.71582756  .00000286  00000-0  19523-2 0  9994,2 42627 101.6326  55.4735 0064353  75.1262 285.6928 12.57607680900927
THORAD DELTA 1 DEB,1 42628U 74089GV  26085.39823610 -.00000209  00000-0 -17638-2 0  9993,2 42628 101.1678 334.7445 0256912 246.5959 110.7881 12.06951894502821
DELTA 1 DEB,1 42629U 75052LN  26066.13607741  .00000120  00000-0  33853-3 0  9999,2 42629  99.8557 194.0823 0073145 280.3305  78.9578 13.31065750 53829
DELTA 1 DEB,1 42630U 75052LP  22236.42569141  .00001198  00000-0  29173-3 0  9995,2 42630  99.9058 296.5432 0142063 294.2815  74.7079 14.49355824414429
DELTA 1 DEB,1 42631U 75052LQ  26085.46500531  .00000089  00000-0  18787-3 0  9991,2 42631  99.7594 357.7570 0044654 130.7987 229.7037 13.56365521610805
DELTA 1 DEB,1 42632U 75052LR  26084.15230328  .00000321  00000-0  12978-2 0  9995,2 42632  99.5849 162.5395 0401241 215.1887 142.2094 12.70081284529650
DELTA 1 DEB,1 42633U 75052LS  26085.37844546  .00000276  00000-0  69509-3 0  9996,2 42633  99.6681 295.0772 0124031 213.5851 145.7363 13.25550124596464
DELTA 1 DEB,1 42634U 75052LT  26084.89457396  .00000084  00000-0  24797-3 0  9993,2 42634  99.7650 314.0444 0062082 120.8348 239.8905 13.34386402601075
DELTA 1 DEB,1 42635U 75052LU  26082.72396923  .00000151  00000-0  27438-3 0  9992,2 42635  99.7732 357.6466 0045116 134.3218 254.7708 13.56809538610429
DELTA 1 DEB,1 42636U 75052LV  26083.47974390  .00000214  00000-0  58588-3 0  9996,2 42636  99.6798 277.6027 0130435   6.2662  23.1935 13.22201183594778
DELTA 1 DEB,1 42637U 75052LW  26080.93324400  .00000026  00000-0  16439-3 0  9996,2 42637  99.8796 335.1056 0138865 231.1045 127.7618 13.18183015593721
DELTA 1 DEB,1 42638U 75052LX  24287.55273983  .00004027  00000-0  51848-2 0  9998,2 42638  99.7399  29.6477 0047497 163.2505 197.0217 13.62677999969289
DELTA 1 DEB,1 42639U 75052LY  26077.32518611  .00000046  00000-0  17994-3 0  9995,2 42639  99.6935 263.5400 0070257 246.7021 240.9014 13.31679653598714
DELTA 1 DEB,1 42640U 75052LZ  26077.94292199  .00000445  00000-0  72237-3 0  9999,2 42640  99.8067 249.2147 0215097 290.2262 225.6434 13.45213651603919
DELTA 1 DEB,1 42641U 75052MA  26084.01235351  .00000161  00000-0  39588-3 0  9990,2 42641  99.7988 173.9691 0059261 313.7263 228.3356 13.35640366601095
DELTA 1 DEB,1 42642U 75052MB  26084.02818573  .00000108  00000-0  31177-3 0  9992,2 42642  99.8863 184.8762 0076061 213.5545 146.0748 13.31455476599860
DELTA 1 DEB,1 42643U 75052MC  25245.87933020  .00000266  00000-0  98219-3 0  9994,2 42643  99.6847 112.6736 0292259 238.0163 119.2225 12.88691212994073
DELTA 1 DEB,1 42644U 75052MD  26081.12503503  .00000087  00000-0  30602-3 0  9994,2 42644  99.6163  40.5771 0158854  11.1347 349.3220 13.17276184243886
DELTA 1 DEB,1 42645U 75052ME  26083.03261841  .00000058  00000-0  30836-3 0  9990,2 42645  99.7380 350.1295 0270156  32.7344 344.8645 12.90062333451922
DELTA 1 DEB,1 42646U 75052MF  26081.04696536  .00000175  00000-0  42299-3 0  9999,2 42646 100.0115 359.6355 0055608  64.6026 296.0842 13.36098509555433
DELTA 1 DEB,1 42647U 75052MG  26083.15298912  .00000038  00000-0  16201-3 0  9992,2 42647  99.7282 238.6370 0066069 146.0504 214.4875 13.32589152 72322
DELTA 1 DEB,1 42648U 75052MH  26085.02593721  .00005809  00000-0  76310-2 0  9994,2 42648 100.3596 189.7416 0185567 314.7362  43.8794 13.54885062601154
DELTA 1 DEB,1 42649U 75052MJ  26069.85738661  .00000088  00000-0  24150-3 0  9992,2 42649  99.7701 300.8230 0035715 114.4835 246.0024 13.39183467605816
DELTA 1 DEB,1 42650U 75052MK  25226.17953796  .00000086  00000-0  18768-3 0  9997,2 42650  99.7637 349.6361 0232902  53.3275  64.6860 13.44056397 33586
DELTA 1 DEB,1 42651U 75052ML  25298.12348292  .00000609  00000-0  10043-2 0  9999,2 42651  99.2891 237.8880 0158237  64.7914 313.5359 13.46062483539723
DELTA 1 DEB,1 42652U 75052MM  26083.65638899  .00000257  00000-0  59952-3 0  9998,2 42652  99.7649 234.2677 0073855 174.6131 201.0831 13.33153731599993
DELTA 1 DEB,1 42653U 75052MN  26085.23463373  .00000015  00000-0  11739-3 0  9991,2 42653  99.7690 234.1898 0068522 192.6666 290.0971 13.30822562599469
DELTA 1 DEB,1 42654U 75052MP  26084.08425089 -.00000017  00000-0  66221-4 0  9996,2 42654  99.7406  24.9398 0275564 355.8775  18.2158 12.91900654 15189
DELTA 1 DEB,1 42655U 75052MQ  26079.22715262 -.00000480  00000-0 -70174-3 0  9998,2 42655  99.5921  67.8695 0568758 312.0626  43.3400 12.98591805584165
DELTA 1 DEB,1 42656U 75052MR  26084.72190748  .00000175  00000-0  42661-3 0  9995,2 42656  99.6813 259.9451 0068497 119.1606 241.6396 13.34426808600673
DELTA 1 DEB,1 42657U 75052MS  26083.99236037  .00000014  00000-0  84155-4 0  9993,2 42657  99.6808 345.0645 0044885 198.3733 161.5784 13.54501731609788
DELTA 1 DEB,1 42658U 75052MT  19044.67300950  .00000404  00000-0  17579-2 0  9991,2 42658  99.7969 209.3313 0432984 303.0360  52.9828 12.60810900678824
DELTA 1 DEB,1 42659U 75052MU  26084.58529112  .00009876  00000-0  78511-3 0  9993,2 42659  98.2051 209.5428 0004318 263.4505 153.3516 15.00655822665177
DELTA 1 DEB,1 42661U 75052MW  26081.26520767  .00000926  00000-0  28864-3 0  9998,2 42661  98.7958  96.7406 0003992 176.9319 183.1895 14.43317845647404
CHINASAT 16,1 42662U 17018A   26085.35616439 -.00000367  00000-0  00000-0 0  9992,2 42662   0.0590  87.6305 0005165 173.3782 161.4708  1.00267148 32914
CZ-3B R/B,1 42663U 17018B   26085.98318679  .00026042  00000-0  27197-2 0  9992,2 42663  20.3182 109.5454 6752585  62.8744 349.3909  2.99467743 76377
MIDAS 4 DEB,1 42664U 61028K   25207.28853254  .00000004  00000-0  29512-2 0  9997,2 42664  95.8256 168.3405 0344171 185.2262 174.4948  8.69044360322141
MIDAS 4 DEB,1 42665U 61028L   25088.05455497 -.00000501  00000-0 -15765+0 0  9993,2 42665  95.8214 199.3250 0819284 126.4700 241.4511  8.70774315163140
CZ-4C DEB,1 42670U 15069C   26085.43313423  .00009216  00000-0  28989-3 0  9991,2 42670  97.4829 155.0608 0058843  96.4565 264.3380 15.31463873520406
CZ-4C DEB,1 42671U 15069D   26084.57803088  .00004828  00000-0  62885-3 0  9994,2 42671  97.7973 308.5922 0112197 282.9929  75.8773 14.76713259544156
CZ-4C DEB,1 42672U 15069E   26085.91793534  .00015121  00000-0  10893-2 0  9997,2 42672  98.2672  71.0055 0076625 220.1285 139.4264 15.01908864546759
YAOGAN 29 DEB,1 42673U 15069F   26085.32344564  .00001205  00000-0  12761-3 0  9993,2 42673  97.8857 121.2160 0001930 293.9185  66.1830 14.91009843559632
YAOGAN 30 DEB,1 42676U 16029B   26084.30511294  .00001301  00000-0  37914-3 0  9990,2 42676  98.0448 277.0894 0232166 347.0324  12.4953 14.31286825500065
YAOGAN 30 DEB,1 42677U 16029C   26085.30083364  .00001480  00000-0  43120-3 0  9998,2 42677  97.9946 211.3189 0227849 305.6393  52.3762 14.31609999500010
GAOFEN 3 DEB,1 42678U 16049C   26084.25874642  .00000201  00000-0  67549-4 0  9993,2 42678  98.3196  97.2560 0007410 243.9029 116.1402 14.46727516501784
GAOFEN 3 DEB,1 42679U 16049D   26084.29197592  .00000200  00000-0  67414-4 0  9990,2 42679  98.3220  97.2085 0005526 246.8247 113.2364 14.46623092507702
